bil	bill	0.05160142552589472	bel	0.017200475175298238	bell	0.017200475175298238
frea	flea	0.033116964752433344	freya	0.033116964752433344	free	0.033116964752433344
fotball	football	0.7142857142857143	footfall	0.14285714285714288	footballs	0.14285714285714288
corses	curses	0.04235805889223029	courses	0.04235805889223029	corpses	0.025414835335338174
godd	god	0.10276550893394908	good	0.10276550893394908	got	0.03425516964464969
powrr	pow	0.14872521246458925	power	0.14872521246458925	pour	0.08923512747875356


raet	rat	0.024724351881125522	rut	0.014834611128675314	rae	0.014834611128675314
great	great	0.10301816111038695	groat	0.03433938703679565	gret	0.03433938703679565
handel	hander	0.09604190919674038	hande	0.057625145518044235	handed	0.057625145518044235

frinds	friends	0.09208662214126694	friends	0.09208662214126694	friends	0.09208662214126694
stiry	story	0.052317802338708565	store	0.031390681403225144	stir	0.031390681403225144
impossile	impossible	0.20588235294117652	impossible	0.20588235294117652	impossibly	0.14705882352941177
peace	piece	36509580.0	peace	4074322.0
